"nixtamaliz*"  (All Fields) AND "corn" OR "maize"  (All Fields)
Timespan:2010-2023. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Enhancement of Corn Nixtamalization by Power Ultrasound","Janve, Bhaskar; Yang, Wade; Kozman, Austin; Sims, Charles; Teixeira, Arthur; Gunderson, Michael A.; Rababah, Taha M.","","","","FOOD AND BIOPROCESS TECHNOLOGY","MAY 2013","2013","6","5","","","","1269","1280","","10.1007/s11947-012-0816-7","","","13","1.18","0","0","0","1","1","3","0","0","2","3","1","0","2","0"
"Occurrence of zearalenone in fresh corn and corn products collected from local Hispanic markets in San Diego County, CA","Hewitt, Trieste C.; Flack, Carrie L.; Kolodziejczyk, Julia K.; Chacon, Ana M.; D'Ovidio, Kathleen L.","","","","FOOD CONTROL","AUG 2012","2012","26","2","","","","300","304","","10.1016/j.foodcont.2012.01.035","","","13","1.08","0","0","0","1","2","3","1","1","1","3","1","0","0","0"
"Functional properties of tortillas with triticale flour as a partial substitute of nixtamalized corn flour","Manuel Vaca-Garcia, Victor; Gustavo Martinez-Rueda, Carlos; Dolores Mariezcurrena-Berasain, Maria; Dominguez-Lopez, Aurelio","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","JUL 2011","2011","44","6","","","","1383","1387","","10.1016/j.lwt.2011.01.024","","","13","1.00","0","0","0","1","1","2","0","1","2","1","3","1","1","0"
"Physico-chemical, thermal, and rheological properties of nixtamalized creole corn flours produced by high-energy milling","Yuritzi Amador-Rodriguez, Karla; Silos-Espino, Hector; Valera-Montero, Luis L.; Perales-Segovia, Catarino; Flores-Benitez, Silvia; Martinez-Bustos, Fernando","","","","FOOD CHEMISTRY","JUN 15 2019","2019","283","","","","","481","488","","10.1016/j.foodchem.2019.01.044","","","12","2.40","0","0","0","0","0","0","0","0","0","2","4","2","4","0"
"Food Uses of Lime-Cooked Corn With Emphasis in Tortillas and Snacks","Serna-Saldivar, Sergio O.; Chuck-Hernandez, Cristina","","","SernaSaldivar, SO","CORN: CHEMISTRY AND TECHNOLOGY, 3RD EDITION","2019","2019","","","","","","469","500","","10.1016/B978-0-12-811971-6.00017-6","","","12","2.40","0","0","0","0","0","0","0","0","0","0","2","7","3","0"
"Nixtamalization Process Affects Resistant Starch Formation and Glycemic Index of Tamales","Maria Mariscal-Moreno, Rosa; Figueroa Cardenas, Juan de Dios; Santiago-Ramos, David; Rayas-Duarte, Patricia; Juan Veles-Medina, Jose; Eduardo Martinez-Flores, Hector","","","","JOURNAL OF FOOD SCIENCE","MAY 2017","2017","82","5","","","","1110","1115","","10.1111/1750-3841.13703","","","12","1.71","0","0","0","0","0","0","0","0","4","3","5","0","0","0"
"Stability Analysis of Yield and Grain Quality Traits for the Nixtamalization Process of Maize Genotypes Cultivated in the Central High Valleys of Mexico","Gricelda Vazquez-Carrillo, Maria; Rojas-Martinez, Israel; Santiago-Ramos, David; Luis Arellano-Vazquez, Jose; Espinosa-Calderon, Alejandro; Garcia-Perez, Miguel; Crossa, Jose","","","","CROP SCIENCE","NOV-DEC 2016","2016","56","6","","","","3090","3099","","10.2135/cropsci2015.09.0558","","","12","1.50","0","0","0","0","0","0","0","0","2","5","1","2","2","0"
"Effects of Annealing and Concentration of Calcium Salts on Thermal and Rheological Properties of Maize Starch During an Ecological Nixtamalization Process","Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan; Juan Veles-Medina, Jose; Reynoso-Camacho, Rosalia; Ramos-Gomez, Minerva; Gaytan-Martinez, Marcela; Morales-Sanchez, Eduardo","","","","CEREAL CHEMISTRY","SEP-OCT 2015","2015","92","5","","","","475","480","","10.1094/CCHEM-12-14-0258-R","","","12","1.33","0","0","0","0","0","1","1","2","3","1","1","2","1","0"
"Chemical, rheological and mechanical evaluation of maize dough and tortillas in blends with cassava and malanga flour","Chel-Guerrero, Luis; Parra-Perez, Joaquin; Betancur-Ancona, David; Castellanos-Ruelas, Arturo; Solorza-Feria, Javier","","","","JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE","JUL 2015","2015","52","7","","","","4296","4304","","10.1007/s13197-014-1504-6","","","12","1.33","0","0","0","0","0","0","0","1","0","5","3","1","1","1"
"Reduction of aflatoxin B-1 during tortilla production and identification of degradation by-products by direct-injection electrospray mass spectrometry","Moreno-Pedraza, Abigail; Valdes-Santiago, Laura; Josefina Hernandez-Valadez, Laura; Rodriguez-Sixtos Higuera, Alicia; Winkler, Robert; Linda Guzman-de Pena, Dora","","","","SALUD PUBLICA DE MEXICO","JAN-FEB 2015","2015","57","1","","","","50","57","","","","","12","1.33","0","0","0","0","0","0","0","2","3","2","1","2","1","1"
"EFFECT OF TRADITIONAL NIXTAMALIZATION PROCESS ON STARCH ANNEALING AND THE RELATION TO POZOLE QUALITY","Figueroa, J. D. C.; Veles-Medina, J. J.; Tolentino-Lopez, E. M.; Gaytan-Martinez, M.; Aragon-Cuevas, F.; Palacios, N.; Willcox, M.","","","","JOURNAL OF FOOD PROCESS ENGINEERING","OCT 2013","2013","36","5","","","","704","714","","10.1111/jfpe.12034","","","12","1.09","0","0","0","0","0","3","2","1","1","0","1","2","2","0"
"NUTRITION AND TEXTURE EVALUATION OF MAIZE-WHITE COMMON BEAN NIXTAMALIZED TORTILLAS","Cuevas-Martinez, Dolores; Moreno-Ramos, Carolina; Martinez-Manrique, Enrique; Moreno-Martinez, Ernesto; Mendez-Albores, Abraham","","","","INTERCIENCIA","NOV 2010","2010","35","11","","","","828","832","","","","","12","0.86","0","1","1","1","2","0","0","1","0","3","2","0","1","0"
"Canola oil/candelilla wax oleogel improves texture, retards staling and reduces in vitro starch digestibility of maize tortillas","Jaime Vernon-Carter, Eduardo; Alvarez-Ramirez, Jose; Meraz, Monica; Bello-Perez, Luis Arturo; Garcia-Diaz, Samuel","","","","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","FEB 2020","2020","100","3","","","","1238","1245","","10.1002/jsfa.10135","","","11","2.20","0","0","0","0","0","0","0","0","0","0","1","1","9","0"
"Lactic Acid Fermentation of Arabinoxylan From Nejayote by Streptococcus infantarius ssp. infantarius 25124 Isolated From Pozol","Cooper-Bribiesca, Barbara; Navarro-Ocana, Arturo; Diaz-Ruiz, Gloria; Aguilar-Osoriol, Guillermo; Rodriguez-Sanoja, Romina; Wacher, Carmen","","","","FRONTIERS IN MICROBIOLOGY","DEC 18 2018","2018","9","","","","","","","3061","10.3389/fmicb.2018.03061","","","11","1.83","0","0","0","0","0","0","0","0","0","1","2","7","1","0"
"Treatment and alternative usage possibilities of a special wastewater: Nejayote","Argun, Mustafa Samil; Argun, Mehmet Emin","","","","JOURNAL OF FOOD PROCESS ENGINEERING","FEB 2018","2018","41","1","","","","","","e12609","10.1111/jfpe.12609","","","11","1.83","0","0","0","0","0","0","0","0","1","1","5","2","2","0"
"NIXTAMALIZATION ASSISTED WITH ULTRASOUND: EFFECT ON MASS TRANSFER AND PHYSICOCHEMICAL PROPERTIES OF NIXTAMAL, MASA AND TORTILLA","Moreno-Castro, L. E.; Quintero-Ramos, A.; Ruiz-Gutierrez, M. G.; Sanchez-Madrigal, M. A.; Melendez-Pizarro, C. O.; Perez-Reyes, I.; Lardizabal-Gutierrez, D.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","AUG 2015","2015","14","2","","","","265","279","","","","","11","1.22","0","0","0","0","0","0","1","2","0","2","4","1","1","0"
"Study of the fortification with bean and amaranth flours in nixtamalized maize tortilla","Vazquez-Rodriguez, J. A.; Amaya-Guerra, C. A.; Baez-Gonzalez, J. G.; Nunez-Gonzalez, M. A.; Figueroa-Cardenas, J. D.","","","","CYTA-JOURNAL OF FOOD","MAY 1 2013","2013","11","","","1","SI","62","66","","10.1080/19476337.2012.753644","","","11","1.00","0","0","0","0","1","0","0","0","1","2","2","3","2","0"
"Physicochemical, functional, and chemical characterization of nixtamalized corn flour obtained by ohmic heating and traditional process","Gaytan-Martinez, M.; Figueroa, J. D. C.; Vazquez-Landaverde, P. A.; Morales-Sanchez, E.; Martinez-Flores, H. E.; Reyes-Vega, M. L.","","","","CYTA-JOURNAL OF FOOD","2012","2012","10","3","","","","182","195","","10.1080/19476337.2011.606478","","","11","0.92","0","0","0","3","1","1","0","0","1","3","1","1","0","0"
"Influence of Hymenaea courbaril gum as a new additive on nixtamalized flour properties and quality of tortilla","Vanessa Calderon-Peralta, Cinthya; Jimenez-Hernandez, Javier; Ixchel Maldonado-Astudillo, Yanik; Flores-Casamayor, Veronica; Arambula-Villa, Geronimo; Salazar, Ricardo","","","","JOURNAL OF FOOD PROCESS ENGINEERING","OCT 2017","2017","40","5","","","","","","e12525","10.1111/jfpe.12525","","","10","1.43","0","0","0","0","0","0","0","0","2","2","4","0","1","1"
"Microencapsulation of Corn Wastewater (Nejayote) Phytochemicals by Spray Drying and Their Release Under Simulated Gastrointestinal Digestion","Villela-Castrejon, Javier; Acosta-Estrada, Beatriz A.; Gutierrez-Uribe, Janet A.","","","","JOURNAL OF FOOD SCIENCE","JUL 2017","2017","82","7","","","","1726","1734","","10.1111/1750-3841.13762","","","10","1.43","0","0","0","0","0","0","0","0","0","3","5","2","0","0"
"Phenolic Compounds and Antioxidant Activity of Extruded Nixtamalized Corn Flour and Tortillas Enriched with Sorghum Bran","Estrellita Buitimea-Cantua, Nydia; Isabel Torres-Chavez, Patricia; Ramirez-Wong, Benjamin; Othon Serna-Saldivar, Sergio; Rouzaud-Sandez, Ofelia; Carina Rosas-Burgos, Ema; Carlos Platt-Lucero, Luis; Guadalupe Salazar-Garcia, Maria","","","","CEREAL CHEMISTRY","MAR-APR 2017","2017","94","2","","","","277","283","","10.1094/CCHEM-04-16-0115-R","","","10","1.43","0","0","0","0","0","0","0","0","2","2","2","1","3","0"
"Effect of nixtamalization conditions ultrasound assisted on some physicochemical, structural and quality characteristics in maize used for pozole","Robles-Ozuna, L. E.; Ochoa-Martinez, L. A.; Morales-Castro, J.; Gallegos-Infante, J. A.; Quintero-Ramos, A.; Madera-Santana, T. J.","","","","CYTA-JOURNAL OF FOOD","APR 2 2016","2016","14","2","","","","324","332","","10.1080/19476337.2015.1110201","","","10","1.25","0","0","0","0","0","0","0","0","1","4","1","1","3","0"
"THE CIVIL COOKING POT: HOMINY AND THE MISSISSIPPIAN STANDARD JAR IN THE BLACK WARRIOR VALLEY, ALABAMA","Briggs, Rachel V.","","","","AMERICAN ANTIQUITY","APR 2016","2016","81","2","","","","316","332","","10.7183/0002-7316.81.2.316","","","10","1.25","0","0","0","0","0","0","0","4","1","0","2","2","1","0"
"Maize races on functional and nutritional quality of tejate: A maize-cacao beverage","Maria Gonzalez-Amaro, Rosa; de Dios Figueroa-Cardenas, Juan; Perales, Hugo; Santiago-Ramos, David","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","OCT 2015","2015","63","2","","","","1008","1015","","10.1016/j.lwt.2015.04.015","","","10","1.11","0","0","0","0","0","1","0","2","2","0","3","1","1","0"
"Sensory and Quality Evaluation of Traditional Compared with Power Ultrasound Processed Corn (Zea Mays) Tortilla Chips","Janve, Bhaskar; Yang, Wade; Sims, Charles","","","","JOURNAL OF FOOD SCIENCE","JUN 2015","2015","80","6","","","","S1368","S1376","","10.1111/1750-3841.12892","","","10","1.11","0","0","0","0","0","0","0","0","4","3","1","0","2","0"
"GRANULAR SLUDGES METHANOGENIC ACTIVITY INCREASE DUE TO CO2 BUBBLING CALCIUM PRECIPITATION OVER NEJAYOTE","Ferreira-Rolon, A.; Ramirez-Romero, G.; Ramirez-Vives, F.","","","","REVISTA MEXICANA DE INGENIERIA QUIMICA","AUG 2014","2014","13","2","","","","517","525","","","","","10","1.00","0","0","0","0","0","3","0","0","2","2","1","1","1","0"
"Effect of different calcium sources on the antioxidant stability of tortilla chips from extruded and nixtamalized blue corn (Zea mays L.) flours","Angel Sanchez-Madrigal, Miguel; Quintero-Ramos, Armando; Martinez-Bustos, Fernando; Oralia Melendez-Pizarro, Carmen; Graciela Ruiz-Gutierrez, Martha","","","","FOOD SCIENCE AND TECHNOLOGY","JAN-MAR 2014","2014","34","1","","","","143","149","","10.1590/S0101-20612014000100021","","","10","1.00","0","0","0","0","0","2","0","1","2","1","3","1","0","0"
"EFFECT OF XYLANASE ON EXTRUDED NIXTAMALIZED CORN FLOUR AND TORTILLA: PHYSICOCHEMICAL AND RHEOLOGICAL CHARACTERISTICS","Platt-Lucero, L. C.; Ramirez-Wong, B.; Torres-Chavez, P. I.; Lopez-Cervantes, J.; Sanchez-Machado, D. I.; Carvajal-Millan, E.; Martinez-Bustos, F.; Quintero-Ramos, A.; Morales-Rosas, I.","","","","JOURNAL OF FOOD PROCESS ENGINEERING","APR 2013","2013","36","2","","","","179","186","","10.1111/j.1745-4530.2011.00667.x","","","10","0.91","0","0","0","1","1","1","1","0","1","3","1","1","0","0"
"Effect of processing of corn for production of masa, tortillas and tortilla chips on the scavenging capacity of reactive nitrogen species","Lopez-Martinez, Leticia X.; Parkin, Kirk L.; Garcia, Hugo S.","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","JUN 2012","2012","47","6","","","","1321","1327","","10.1111/j.1365-2621.2012.02976.x","","","10","0.83","0","0","0","2","1","2","2","1","2","0","0","0","0","0"
"Stability of Native Folate and Added Folic Acid in Micronutrient-Fortified Corn Masa and Tortillas","Chapman, J. S.; Steele, F. M.; Eggett, D. L.; Johnston, N. P.; Dunn, M. L.","","","","CEREAL CHEMISTRY","SEP-OCT 2010","2010","87","5","","","","434","438","","10.1094/CCHEM-12-09-0164","","","10","0.71","0","0","0","1","3","0","1","1","0","1","1","0","2","0"
"Effect of spontaneous fermentation and amylase-rich flour on the nutritive value, functional and viscoelastic properties of cowpea-fortified nixtamalized maize","Afoakwa, Emmanuel Ohene; Aidoo, Philip Roger; Adjonu, Randy","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION","MAY 2010","2010","61","3","","","","256","271","","10.3109/09637480903379460","","","10","0.71","1","0","1","0","0","1","0","1","1","1","3","1","0","0"
"Effect of Selected Cooking Ingredients for Nixtamalization on the Reduction of Fusarium Mycotoxins in Maize and Sorghum","Odukoya, Julianah Olayemi; De Saeger, Sarah; De Boevre, Marthe; Adegoke, Gabriel Olaniran; Audenaert, Kris; Croubels, Siska; Antonissen, Gunther; Vermeulen, Karel; Gbashi, Sefater; Njobeh, Patrick Berka","","","","TOXINS","JAN 2021","2021","13","1","","","","","","27","10.3390/toxins13010027","","","9","3.00","0","0","0","0","0","0","0","0","0","0","0","4","5","0"
"Physicochemical Properties and Resistant Starch Content of Corn Tortilla Flours Refrigerated at Different Storage Times","Rojas-Molina, Isela; Mendoza-Avila, Monsserrat; de los Angeles Cornejo-Villegas, Maria; Del Real-Lopez, Alicia; Rivera-Munoz, Eric; Rodriguez-Garcia, Mario; Gutierrez-Cortez, Elsa","","","","FOODS","APR 2020","2020","9","4","","","","","","469","10.3390/foods9040469","","","9","2.25","0","0","0","0","0","0","0","0","0","0","1","4","4","0"
"Effect of different starter cultures on the sensory properties and microbiological quality of Atole agrio, a fermented maize product","Vakevainena, Kati; Hernandez, Jessica; Simontaival, Anna-Inkeri; Severiano-Perez, Patricia; Diaz-Ruiz, Gloria; von Wright, Atte; Wacher-Rodarte, Carmen; Plumed-Ferrer, Carme","","","","FOOD CONTROL","MAR 2020","2020","109","","","","","","","106907","10.1016/j.foodcont.2019.106907","","","9","2.25","0","0","0","0","0","0","0","0","0","0","2","2","4","1"
"Relaxation tests and textural properties of nixtamalized corn masa and their relationships with tortilla texture","Topete-Betancourt, Alfonso; Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan","","","","FOOD BIOSCIENCE","FEB 2020","2020","33","","","","","","","100500","10.1016/j.fbio.2019.100500","","","9","2.25","0","0","0","0","0","0","0","0","0","0","0","4","5","0"
"Physicochemical, Rheological, and Morphological Characteristics of Products from Traditional and Extrusion Nixtamalization Processes and Their Relation to Starch","Martin Enriquez-Castro, Carlos; Isabel Torres-Chavez, Patricia; Ramirez-Wong, Benjamin; Quintero-Ramos, Armando; Irene Ledesma-Osuna, Ana; Lopez-Cervantes, Jaime; Enrique Gerardo-Rodriguez, Jesus","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCE","JAN 29 2020","2020","2020","","","","","","","5927670","10.1155/2020/5927670","","","9","2.25","0","0","0","0","0","0","0","0","0","0","2","4","3","0"
"Large amplitude oscillatory shear (LAOS) rheology of nixtamalized corn masa","Alvarez-Ramirez, J.; Escarela-Perez, R.; Vernon-Carter, E. J.; Carrillo-Navas, H.","","","","JOURNAL OF CEREAL SCIENCE","JUL 2019","2019","88","","","","","31","37","","10.1016/j.jcs.2019.05.004","","","9","1.80","0","0","0","0","0","0","0","0","0","0","2","3","4","0"
"Germination in Optimal Conditions as Effective Strategy to Improve Nutritional and Nutraceutical Value of Underutilized Mexican Blue Maize Seeds","Denisse Chavarin-Martinez, Christian; Gutierrez-Dorado, Roberto; Korina Perales-Sanchez, Janitzio Xiomara; Oliva Cuevas-Rodriguez, Edith; Milan-Carrillo, Jorge; Reyes-Moreno, Cuauhtemoc","","","","PLANT FOODS FOR HUMAN NUTRITION","JUN 2019","2019","74","2","","","","192","199","","10.1007/s11130-019-00717-x","","","9","1.80","0","0","0","0","0","0","0","0","0","0","2","3","4","0"
"In vitro colonic fermentation of Mexican "taco" from corn-tortilla and black beans in a Simulator of Human Microbial Ecosystem (SHIME (R)) system","Paulina Cardenas-Castro, Alicia; Bianchi, Fernanda; Tallarico-Adorno, Maria Angela; Montalvo-Gonzalez, Efigenia; Sayago-Ayerdi, Sonia G.; Sivieri, Katia","","","","FOOD RESEARCH INTERNATIONAL","APR 2019","2019","118","","","","SI","81","88","","10.1016/j.foodres.2018.05.072","5th International Conference on Food Digestion (INFOGEST)","APR 04-06, 2017","9","1.80","0","0","0","0","0","0","0","0","0","2","1","3","2","1"
"Kernel properties and popping potential of Chapalote, a Mexican ancient native maize","Gricelda Vazquez-Carrillo, Maria; Santiago-Ramos, David; de Dios Figueroa-Cardenas, Juan","","","","JOURNAL OF CEREAL SCIENCE","MAR 2019","2019","86","","","","","69","76","","10.1016/j.jcs.2019.01.010","","","9","1.80","0","0","0","0","0","0","0","0","0","0","3","2","3","1"
"Effect of the preparation method and storage time on the in vitro protein digestibility of maize tortillas","Martinez-Velasco, A.; Alvarez-Ramirez, J.; Rodriguez-Huezo, E.; Meraz-Rodriguez, M.; Vernon-Carter, E. J.; Lobato-Calleros, C.","","","","JOURNAL OF CEREAL SCIENCE","NOV 2018","2018","84","","","","","7","12","","10.1016/j.jcs.2018.09.016","","","9","1.50","0","0","0","0","0","0","0","0","0","2","1","4","2","0"
"Effect of processing procedure on the formation of resistant starch in tamales","de Dios Figueroa-Cardenas, Juan; Juan Veles-Medina, Jose; Michelle Esquivel-Martinez, Anaid; Maria Mariscal-Moreno, Rosa; Santiago-Ramos, David; Josue Hernandez-Estrada, Zorba","","","","STARCH-STARKE","NOV 2016","2016","68","11-12","","","SI","1121","1128","","10.1002/star.201600091","","","9","1.13","0","0","0","0","0","0","0","1","2","2","2","2","0","0"
"Effect of Malting and Nixtamalization Processes on the Physicochemical Properties of Instant Extruded Corn Flour and Tortilla Quality","Alberto Rodriguez-Martinez, Nicolas; Guadalupe Salazar-Garcia, Maria; Ramirez-Wong, Benjamin; Rosa Islas-Rubio, Alma; Carlos Platt-Lucero, Luis; Morales-Rosas, Ignacio; Marquez-Melendez, Ruben; Martinez-Bustos, Fernando","","","","PLANT FOODS FOR HUMAN NUTRITION","SEP 2015","2015","70","3","","","","275","280","","10.1007/s11130-015-0490-9","","","9","1.00","0","0","0","0","0","0","1","2","2","1","0","0","3","0"
"Thermal and rheological properties of masa from nixtamalized corn subjected to a sequential protein extraction","Santos, Eva M.; Quintanar-Guzman, Adriana; Solorza-Feria, Javier; Sanchez-Ortega, Irais; Rodriguez, Jose A.; Wang, Ya-Jane","","","","JOURNAL OF CEREAL SCIENCE","NOV 2014","2014","60","3","","","","490","496","","10.1016/j.jcs.2014.08.008","","","9","0.90","0","0","0","0","0","1","0","1","0","4","0","3","0","0"
"Cytotoxic and Genotoxic Evaluation of Tortillas Produced by Microwave Heating during Alkaline-Cooking of Aflatoxin-Contaminated Maize","Vazquez-Duran, Alma; Diaz-Torres, Roberto; Ramirez-Noguera, Patricia; Moreno-Martinez, Ernesto; Mendez-Albores, Abraham","","","","JOURNAL OF FOOD SCIENCE","MAY 2014","2014","79","5","","","","T1024","T1029","","10.1111/1750-3841.12426","","","9","0.90","0","0","0","0","0","3","2","0","1","2","1","0","0","0"
"Efficacy of Microwave-Heating during Alkaline Processing of Fumonisin-Contaminated Maize","Mendez-Albores, Abraham; Anelem Cardenas-Rodriguez, Denisse; Vazquez-Duran, Alma","","","","IRANIAN JOURNAL OF PUBLIC HEALTH","FEB 2014","2014","43","2","","","","147","155","","","","","9","0.90","0","0","0","0","0","0","2","1","1","2","3","0","0","0"
"A RE-EVALUATION OF THE RELIABILITY OF AMS DATES ON POTTERY FOOD RESIDUES FROM THE LATE PREHISTORIC CENTRAL PLAINS OF NORTH AMERICA: COMMENT ON ROPER (2013)","Hart, John P.; Lovis, William A.","","","","RADIOCARBON","2014","2014","56","1","","","","341","353","","10.2458/56.16898","","","9","0.90","0","0","0","0","2","3","0","1","1","0","1","1","0","0"
"Effects of polymerization changes in maize proteins during nixtamalization on the thermal and viscoelastic properties of masa in model systems","Quintanar Guzman, Adriana; Jaramillo Flores, Maria Eugenia; Solorza Feria, Javier; Montealvo, Maria Guadalupe Mendez; Wang, Ya-Jane","","","","JOURNAL OF CEREAL SCIENCE","SEP 2010","2010","52","2","","","","152","160","","10.1016/j.jcs.2010.04.007","","","9","0.64","0","1","1","0","2","0","1","1","1","1","0","1","0","0"
"Regulatory Aspects of Whole Grain and Whole Grain Foods: Definitions and Labeling","Jones, Julie Miller","","","","CEREAL CHEMISTRY","MAR-APR 2010","2010","87","2","","","","150","154","","10.1094/CCHEM-87-2-0150","","","9","0.64","0","1","2","1","0","0","1","1","0","0","2","1","0","0"
"Effect of maize processing methods on the retention of minerals, phytic acid and amino acids when using high kernel-zinc maize","Gallego-Castillo, Sonia; Taleon, Victor; Talsma, Elise F.; Rosales-Nolasco, Aldo; Palacios-Rojas, Natalia","","","","CURRENT RESEARCH IN FOOD SCIENCE","2021","2021","4","","","","","279","286","","10.1016/j.crfs.2021.03.007","","","8","2.67","0","0","0","0","0","0","0","0","0","0","0","1","6","1"
"Aflatoxin detoxification in tortillas using an infrared radiation thermo-alkaline process: Cytotoxic and genotoxic evaluation","Zavala-Franco, Anai; Arambula-Villa, Geronimo; Ramirez-Noguera, Patricia; Maria Salazar, Ana; Sordo, Monserrat; Marroquin-Cardona, Alicia; De Dios Figueroa-Cardenas, Juan; Mendez-Albores, Abraham","","","","FOOD CONTROL","JUN 2020","2020","112","","","","","","","107084","10.1016/j.foodcont.2019.107084","","","8","2.00","0","0","0","0","0","0","0","0","0","0","1","5","2","0"
"Supplementing white maize masa with anthocyanins: Effects on masa rheology and on the in vitro digestibility and hardness of tortillas","Vernon-Carter, E. J.; Alvarez-Ramirez, J.; Bello-Perez, L. A.; Gonzalez, M.; Reyes, I.; Alvarez-Poblano, L.","","","","JOURNAL OF CEREAL SCIENCE","JAN 2020","2020","91","","","","","","","102883","10.1016/j.jcs.2019.102883","","","8","2.00","0","0","0","0","0","0","0","0","0","0","2","4","2","0"
"Isolation and Characterization of a New Ferulic-Acid-Biotransforming Bacillus megaterium from Maize Alkaline Wastewater (Nejayote)","Baqueiro-Pena, Itzamna; Contreras-Jacquez, Victor; Reinhart Kirchmayr, Manuel; Carlos Mateos-Diaz, Juan; Miriam Valenzuela-Soto, Elisa; Asaff-Torres, Ali","","","","CURRENT MICROBIOLOGY","OCT 2019","2019","76","10","","","","1215","1224","","10.1007/s00284-019-01726-4","","","8","1.60","0","0","0","0","0","0","0","0","0","0","2","5","1","0"
"Physicochemical, thermal, and rheological properties of nixtamalized bluecorn flours and masas added with huitlacoche (Ustilago maydis) paste","Yuritzi Amador-Rodriguez, Karla; Eugenia Perez-Cabrera, Laura; Guevara-Lara, Fidel; Angelica Chavez-Vela, Norma; Anibal Posadas-Del Rio, Francisco; Silos-Espino, Hector; Martinez-Bustos, Fernando","","","","FOOD CHEMISTRY","APR 25 2019","2019","278","","","","","601","608","","10.1016/j.foodchem.2018.11.008","","","8","1.60","0","0","0","0","0","0","0","0","0","1","2","4","1","0"
"Gut metabolites associated with pH and antioxidant capacity during in vitro colonic fermentation of Mexican corn products","Zamora-Gasga, Victor M.; Alvarez-Vidal, Carlos; Montalvo-Gonzalez, Efigenia; Loarca-Pina, Guadalupe; Vazquez-Landaverde, Pedro A.; Bello-Perez, Luis A.; Tovar, Juscelino; Sayago-Ayerdi, Sonia G.","","","","CEREAL CHEMISTRY","MAY-JUN 2018","2018","95","3","","","","399","410","","10.1002/cche.10039","","","8","1.33","0","0","0","0","0","0","0","0","0","4","0","3","1","0"
"Physicochemical properties of nixtamalized corn flours with and without germ","Vega Rojas, Lineth J.; Rojas Molina, Isela; Gutierrez Cortez, Elsa; Rincon Londono, Natalia; Acosta Osorio, Andres A.; Del Real Lopez, Alicia; Rodriguez Garcia, Mario E.","","","","FOOD CHEMISTRY","APR 1 2017","2017","220","","","","","490","497","","10.1016/j.foodchem.2016.10.039","","","8","1.14","0","0","0","0","0","0","0","1","1","0","1","2","3","0"
"Production of nixtamalized flour and tortillas from amarantin transgenic maize lime-cooked in a thermoplastic extruder","Reyes-Moreno, Cuauhtemoc; Ayala-Rodriguez, Ana E.; Milan-Carrillo, Jorge; Mora-Rochin, Saraid; Lopez-Valenzuela, Jose A.; Valdez-Ortiz, Angel; Paredes-Lopez, Octavio; Gutierrez-Dorado, Roberto","","","","JOURNAL OF CEREAL SCIENCE","NOV 2013","2013","58","3","","","","465","471","","10.1016/j.jcs.2013.09.008","","","8","0.73","0","0","0","0","0","1","0","1","0","1","4","0","1","0"
"Protein-phenolic aggregates with anti-inflammatory activity recovered from maize nixtamalization wastewaters (nejayote)","Buitimea-Cantua, Nydia E.; Antunes-Ricardo, Marilena; Gutierrez-Uribe, Janet A.; del Refugio Rocha-Pizana, Maria; de la Rosa-Millan, Julian; Torres-Chavez, Patricia, I","","","","LWT-FOOD SCIENCE AND TECHNOLOGY","DEC 2020","2020","134","","","","","","","109881","10.1016/j.lwt.2020.109881","","","7","1.75","0","0","0","0","0","0","0","0","0","0","0","2","5","0"
"Identification and Evaluation of Antioxidant Activity of Hydroxycinnamic Acids Extracted by Ultrafiltration from Three Varieties of Mexican Maize","Diaz-Montes, Elsa; Barragan-Huerta, Blanca E.; Yanez-Fernandez, Jorge","","","","WASTE AND BIOMASS VALORIZATION","MAY 2020","2020","11","5","","","","1799","1808","","10.1007/s12649-018-0420-9","","","7","1.75","0","0","0","0","0","0","0","0","0","0","3","2","2","0"
"Pigmented Maize (Zea mays L.) Contains Anthocyanins with Potential Therapeutic Action Against Oxidative Stress - A Review","Miguel Magana-Cerino, Jesus; Arturo Peniche-Pavia, Hector; Tiessen, Axel; Magdalena Gurrola-Diaz, Carmen","","","","POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES","2020","2020","70","2","","","","85","99","","10.31883/pjfns/113272","","","7","1.75","0","0","0","0","0","0","0","0","0","0","1","3","3","0"
